Gene	Target	IonCode_0101	IonCode_0102	IonCode_0103	IonCode_0104	IonCode_0105	IonCode_0106	IonCode_0107	IonCode_0125	IonCode_0126	IonCode_0127	IonCode_0128	IonCode_0129	IonCode_0130	IonCode_0131	"COSMIC_CGC_FLAG"	"NCBI_NAME"	"HGNC_SYMBOL_ACC"	"MIM_MORBID_DESCRIPTION"	"ENTREZ_GENE_ID"	"U133PLUS2_PSID"
ABCA1	AMPL28385508	23	38	23	14	59	31	48	13	31	14	10	49	28	41	0	ATP-binding_cassette__sub-family_A__ABC1__member_1	29	ATP-BINDING_CASSETTE__SUBFAMILY_A__MEMBER_1__ABCA1,HYPOALPHALIPOPROTEINEMIA__PRIMARY,TANGIER_DISEASE__TGD	19	1570279_at,203504_s_at,203505_at,216066_at
ABCA10	AMPL18549579	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	ATP-binding_cassette__sub-family_A__ABC1__member_10	30	.	10349	.
ABCA12	AMPL15858282	1	1	0	0	1	0	0	2	0	0	0	0	0	1	0	ATP-binding_cassette__sub-family_A__ABC1__member_12	14637	ICHTHYOSIS__CONGENITAL__AUTOSOMAL_RECESSIVE_4A__ARCI4A,ICHTHYOSIS__CONGENITAL__AUTOSOMAL_RECESSIVE_4B__ARCI4B	26154	215465_at
ABCA13	AMPL34481782	3	3	2	2	3	9	1	9	6	1	1	4	1	1	0	ATP-binding_cassette__sub-family_A__ABC1__member_13	14638	.	154664	1553295_at,1553604_at,1553605_a_at
ABCA17P	AMPL19877459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ATP-binding_cassette__sub-family_A__ABC1__member_17__pseudogene	32972	.	650655	231164_at
ABCA2	AMPL8099046	100	117	84	90	146	123	169	86	107	55	66	95	94	198	0	ATP-binding_cassette__sub-family_A__ABC1__member_2	32	.	20	210100_s_at,212772_s_at
ABCA3	AMPL5076273	32	39	32	37	112	66	69	29	47	21	23	83	61	63	0	ATP-binding_cassette__sub-family_A__ABC1__member_3	33	SURFACTANT_METABOLISM_DYSFUNCTION__PULMONARY__3__SMDP3	21	204343_at
ABCA4	AMPL3661170	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	ATP-binding_cassette__sub-family_A__ABC1__member_4	34	CONE-ROD_DYSTROPHY_3__CORD3,MACULAR_DEGENERATION__AGE-RELATED__2__ARMD2,RETINITIS_PIGMENTOSA_19__RP19,STARGARDT_DISEASE_1__STGD1	24	1569102_at,210082_at
ABCA5	AMPL16435662	29	41	28	22	47	27	51	24	39	13	9	29	28	46	0	ATP-binding_cassette__sub-family_A__ABC1__member_5	35	.	23461	213353_at
ABCA6	AMPL18550501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ATP-binding_cassette__sub-family_A__ABC1__member_6	36	.	23460	217504_at
ABCA7	AMPL31288152	3	2	0	1	1	0	0	0	5	0	0	2	0	0	0	ATP-binding_cassette__sub-family_A__ABC1__member_7	37	.	10347	219577_s_at
ABCA8	AMPL13251723	26	20	22	11	26	15	11	13	13	11	7	28	24	18	0	ATP-binding_cassette__sub-family_A__ABC1__member_8	38	.	10351	1565778_at,204719_at
ABCA9	AMPL15770940	4	0	1	0	1	1	7	1	2	0	0	1	0	1	0	ATP-binding_cassette__sub-family_A__ABC1__member_9	39	.	10350	235335_at,239185_at,242541_at
ABCB1	AMPL5599607	37	26	37	78	3	33	68	39	39	21	34	3	35	62	0	ATP-binding_cassette__sub-family_B__MDR_TAP__member_1	40	INFLAMMATORY_BOWEL_DISEASE_13__IBD13	5243	209993_at,209994_s_at,243951_at
ABCB10	AMPL12686552	211	225	222	282	180	213	258	225	229	130	145	162	208	240	0	ATP-binding_cassette__sub-family_B__MDR_TAP__member_10	41	.	23456	223320_s_at
ABCB11	AMPL7530015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ATP-binding_cassette__sub-family_B__MDR_TAP__member_11	42	CHOLESTASIS__BENIGN_RECURRENT_INTRAHEPATIC__2__BRIC2,CHOLESTASIS__PROGRESSIVE_FAMILIAL_INTRAHEPATIC__2__PFIC2	8647	208288_at,211224_s_at
ABCB4	AMPL5513474	5	4	7	7	2	7	8	8	2	5	3	0	4	4	0	ATP-binding_cassette__sub-family_B__MDR_TAP__member_4	45	CHOLESTASIS__INTRAHEPATIC__OF_PREGNANCY_3__ICP3,CHOLESTASIS__PROGRESSIVE_FAMILIAL_INTRAHEPATIC__3__PFIC3,GALLBLADDER_DISEASE_1__GBD1	5244	1570505_at,207819_s_at,209994_s_at
ABCB5	AMPL6715085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ATP-binding_cassette__sub-family_B__MDR_TAP__member_5	46	.	340273	1555371_at,1569072_s_at,240717_at,243167_at
ABCB6	AMPL29447135	141	134	149	153	87	133	127	132	99	119	100	82	90	108	0	ATP-binding_cassette__sub-family_B__MDR_TAP__member_6	47	BLOOD_GROUP__LANGEREIS_SYSTEM__LAN,MICROPHTHALMIA__ISOLATED__WITH_COLOBOMA_7__MCOPCB7	10058	203192_at
ABCB7	AMPL28554255	203	163	177	199	244	213	251	203	150	104	113	223	227	127	0	ATP-binding_cassette__sub-family_B__MDR_TAP__member_7	48	ANEMIA__SIDEROBLASTIC__AND_SPINOCEREBELLAR_ATAXIA__ASAT	22	209620_s_at
ABCB8	AMPL12342162	55	50	44	37	57	60	54	23	58	25	28	22	44	47	0	ATP-binding_cassette__sub-family_B__MDR_TAP__member_8	49	.	11194	206317_s_at,229539_at
ABCB9	AMPL30785555	1	4	0	1	0	0	0	0	2	1	4	3	3	3	0	ATP-binding_cassette__sub-family_B__MDR_TAP__member_9	50	.	23457	1555323_at,207321_s_at,214209_s_at,232950_s_at
ABCC1	AMPL28603395	68	58	42	50	62	57	54	44	44	40	28	45	49	40	0	ATP-binding_cassette__sub-family_C__CFTR_MRP__member_1	51	.	4363	202804_at,202805_s_at
ABCC10	AMPL7136100	48	43	43	57	52	60	52	24	44	31	31	52	41	55	0	ATP-binding_cassette__sub-family_C__CFTR_MRP__member_10	52	.	89845	213485_s_at,215873_x_at
ABCC11	AMPL16427617	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	ATP-binding_cassette__sub-family_C__CFTR_MRP__member_11	14639	APOCRINE_GLAND_SECRETION__VARIATION_IN	85320	1554911_at,224146_s_at
ABCC12	AMPL16211125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ATP-binding_cassette__sub-family_C__CFTR_MRP__member_12	14640	.	94160	1552590_a_at,1553410_a_at
ABCC2	AMPL3093849	1	8	6	2	2	5	8	1	3	1	2	2	7	2	0	ATP-binding_cassette__sub-family_C__CFTR_MRP__member_2	53	DUBIN-JOHNSON_SYNDROME__DJS	1244	206155_at
ABCC3	AMPL11367250	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	ATP-binding_cassette__sub-family_C__CFTR_MRP__member_3	54	.	8714	208161_s_at,209641_s_at,214979_at,230682_x_at,239217_x_at
ABCC4	AMPL27233725	42	42	29	34	80	45	56	22	25	34	17	68	38	60	0	ATP-binding_cassette__sub-family_C__CFTR_MRP__member_4	55	.	10257	1554918_a_at,1555039_a_at,203196_at
ABCC5	AMPL28800826	40	50	56	42	48	36	76	48	45	29	23	33	46	81	0	ATP-binding_cassette__sub-family_C__CFTR_MRP__member_5	56	.	10057	1558460_at,209380_s_at,226363_at
ABCC6	AMPL9526889	0	1	1	0	1	1	1	0	0	1	0	1	1	0	0	ATP-binding_cassette__sub-family_C__CFTR_MRP__member_6	57	ARTERIAL_CALCIFICATION__GENERALIZED__OF_INFANCY__2__GACI2,PSEUDOXANTHOMA_ELASTICUM__PXE	101930322,368	208480_s_at,214033_at,215559_at
ABCC8	AMPL1955595	0	0	0	0	3	1	0	0	0	0	0	1	0	6	0	ATP-binding_cassette__sub-family_C__CFTR_MRP__member_8	59	DIABETES_MELLITUS__PERMANENT_NEONATAL__PNDM,DIABETES_MELLITUS__TRANSIENT_NEONATAL__2,HYPERINSULINEMIC_HYPOGLYCEMIA__FAMILIAL__1__HHF1,HYPERINSULINEMIC_HYPOGLYCEMIA__FAMILIAL__3__HHF3,HYPOGLYCEMIA__LEUCINE-INDUCED__LIH	6833	210246_s_at
ABCC9	AMPL31159527	4	3	6	4	6	7	3	9	2	1	2	3	1	10	0	ATP-binding_cassette__sub-family_C__CFTR_MRP__member_9	60	ATRIAL_FIBRILLATION__FAMILIAL__12__ATFB12,CANTU_SYNDROME,CARDIOMYOPATHY__DILATED__1O__CMD1O	10060	1557374_at,208462_s_at,208561_at,208562_s_at,235578_at
ABCD1	AMPL4354534	30	36	33	46	31	48	45	37	26	21	33	36	38	52	0	ATP-binding_cassette__sub-family_D__ALD__member_1	61	ADRENOLEUKODYSTROPHY__ALD	215	205142_x_at
ABCD2	AMPL30300100	2	0	0	0	3	1	1	2	0	0	0	2	0	3	0	ATP-binding_cassette__sub-family_D__ALD__member_2	66	.	225	207583_at
ABCD3	AMPL10799498	282	308	352	306	324	333	415	258	290	186	177	316	271	381	0	ATP-binding_cassette__sub-family_D__ALD__member_3	67	.	5825	1554878_a_at,202850_at
ABCD4	AMPL28234371	299	266	192	251	240	254	326	184	208	215	140	240	269	275	0	ATP-binding_cassette__sub-family_D__ALD__member_4	68	METHYLMALONIC_ACIDURIA_AND_HOMOCYSTINURIA__cblJ_TYPE__MAHCJ	5826	203981_s_at,203982_s_at
ABCE1	AMPL8835806	635	643	670	784	557	770	984	615	523	331	420	404	692	1166	0	ATP-binding_cassette__sub-family_E__OABP__member_1	69	.	6059	201872_s_at,201873_s_at
ABCF1	AMPL1062180	811	779	833	916	786	875	1083	784	827	461	543	776	692	1143	0	ATP-binding_cassette__sub-family_F__GCN20__member_1	70	.	23	200045_at
ABCF2	AMPL28710948	374	363	355	435	379	373	544	374	307	199	187	270	354	573	0	ATP-binding_cassette__sub-family_F__GCN20__member_2	71	.	10061	207622_s_at,207623_at,209246_at,209247_s_at,214232_at
ABCF3	AMPL33247607	85	84	61	90	102	85	130	102	84	56	48	87	71	116	0	ATP-binding_cassette__sub-family_F__GCN20__member_3	72	.	55324	202394_s_at
ABCG1	AMPL29470197	5	2	1	1	3	1	5	5	5	0	1	0	4	6	0	ATP-binding_cassette__sub-family_G__WHITE__member_1	73	.	9619	204567_s_at,211113_s_at
ABCG2	AMPL28876904	3	7	9	4	7	5	10	8	7	1	3	5	5	4	0	ATP-binding_cassette__sub-family_G__WHITE__member_2	74	BLOOD_GROUP__JUNIOR_SYSTEM__JR,URIC_ACID_CONCENTRATION__SERUM__QUANTITATIVE_TRAIT_LOCUS_1__UAQTL1	9429	209735_at
ABCG4	AMPL35962683	1	1	3	0	3	1	0	3	0	0	0	0	1	0	0	ATP-binding_cassette__sub-family_G__WHITE__member_4	13884	.	64137	207593_at
ABCG5	AMPL37320861	0	0	0	1	0	1	0	0	0	0	0	0	0	4	0	ATP-binding_cassette__sub-family_G__WHITE__member_5	13886	SITOSTEROLEMIA	64240	220383_at
ABCG8	AMPL37439385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ATP-binding_cassette__sub-family_G__WHITE__member_8	13887	GALLBLADDER_DISEASE_4__GBD4,SITOSTEROLEMIA	64241	231751_at
ABHD1	AMPL16990403	3	2	2	3	2	1	5	3	3	1	2	3	1	2	0	abhydrolase_domain_containing_1	17553	.	84696	236461_at
ABHD10	AMPL34005486	160	134	114	146	131	155	161	156	131	100	84	111	114	172	0	abhydrolase_domain_containing_10	25656	.	55347	218633_x_at,222697_s_at
ABHD11	AMPL35722665	51	33	46	48	51	65	61	51	32	27	33	44	43	50	0	abhydrolase_domain_containing_11	16407	.	83451	1552470_a_at,1552800_at,221927_s_at
ABHD12	AMPL32297518	396	456	392	457	758	403	599	397	408	263	207	640	407	497	0	abhydrolase_domain_containing_12	15868	POLYNEUROPATHY__HEARING_LOSS__ATAXIA__RETINITIS_PIGMENTOSA__AND_CATARACT_	26090	224742_at,228123_s_at,228124_at
ABHD12B	AMPL7873511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	abhydrolase_domain_containing_12B	19837	.	100616234,145447	237974_at
ABHD13	AMPL16027178	58	59	64	71	56	57	74	74	64	65	39	52	57	58	0	abhydrolase_domain_containing_13	20293	.	84945	234993_at,235348_at
ABHD14A	AMPL25862037	47	34	36	57	51	68	49	47	45	55	29	68	76	55	0	abhydrolase_domain_containing_14A	24538	.	25864	210006_at
ABHD14B	AMPL6719779	28	21	19	36	23	33	24	22	22	16	10	24	25	28	0	abhydrolase_domain_containing_14B	28235	.	84836	224821_at
ABHD15	AMPL20585213	36	34	32	47	37	40	28	24	29	25	18	33	34	40	0	abhydrolase_domain_containing_15	26971	.	116236	226796_at
ABHD16A	AMPL36420922	225	197	211	195	241	274	307	189	191	128	113	196	231	261	0	abhydrolase_domain_containing_16A	13921	.	7920	224756_s_at,230221_at
ABHD16B	AMPL17532477	26	11	16	17	10	17	21	10	15	15	10	25	16	20	0	abhydrolase_domain_containing_16B	16128	.	140701	234002_at
ABHD2	AMPL17078991	215	228	211	237	224	278	286	219	209	155	139	161	235	274	0	abhydrolase_domain_containing_2	18717	.	11057	205566_at,221815_at,225337_at,228490_at,63825_at,87100_at
ABHD3	AMPL17297898	175	187	190	218	271	198	232	137	165	121	105	246	186	289	0	abhydrolase_domain_containing_3	18718	.	171586	213017_at
ABHD4	AMPL37127761	127	127	160	178	89	97	98	113	104	75	78	120	135	132	0	abhydrolase_domain_containing_4	20154	.	63874	218581_at,242023_at
ABHD5	AMPL33305114	68	95	67	85	77	94	104	81	66	47	47	68	100	150	0	abhydrolase_domain_containing_5	21396	CHANARIN-DORFMAN_SYNDROME__CDS	51099	218739_at
ABHD6	AMPL32219778	29	40	53	32	57	32	43	35	41	26	27	46	45	50	0	abhydrolase_domain_containing_6	21398	.	57406	221552_at,221679_s_at,45288_at
ABHD8	AMPL37207261	117	95	101	101	136	141	107	102	126	58	48	139	87	84	0	abhydrolase_domain_containing_8	23759	.	79575	219101_x_at
ABI1	AMPL983412	300	287	310	286	368	352	375	340	273	177	180	258	345	492	1	abl-interactor_1	11320	.	10006	209027_s_at,209028_s_at
ABI2	AMPL27003455	618	737	690	696	800	738	1075	593	678	435	472	672	781	1227	0	abl-interactor_2	24011	.	10152	207268_x_at,209856_x_at,211793_s_at,225098_at,225112_at,231075_x_at
ABI3	AMPL32495296	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	ABI_family__member_3	29859	.	51225	223615_at
ABI3BP	AMPL25539060	2	0	2	3	0	0	0	0	0	0	0	0	0	0	0	ABI_family__member_3__NESH__binding_protein	17265	.	25890	1559077_at,220518_at,223395_at
ABL1	AMPL28966626	733	670	582	585	807	744	809	656	680	319	361	719	656	1123	1	c-abl_oncogene_1__non-receptor_tyrosine_kinase	76	LEUKEMIA__CHRONIC_MYELOID__CML	25	202123_s_at
ABL2	AMPL27388698	30	30	13	37	30	43	42	18	20	22	14	18	26	48	1	c-abl_oncogene_2__non-receptor_tyrosine_kinase	77	.	27	206411_s_at,226893_at,231907_at
ABLIM1	AMPL8365011	18	13	12	29	17	23	25	14	5	9	11	14	15	21	0	actin_binding_LIM_protein_1	78	.	3983	200965_s_at,210461_s_at
ABLIM2	AMPL2772997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	actin_binding_LIM_protein_family__member_2	19195	.	84448	1567623_at,228132_at,236087_at,242624_at
ABLIM3	AMPL26412001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	actin_binding_LIM_protein_family__member_3	29132	.	22885	205730_s_at
ABO	AMPL31007531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ABO_blood_group__transferase_A__alpha_1-3-N-acetylgalactosaminyltransferase__transferase_B__alpha_1-3-galactosyltransferase	79	ABO_GLYCOSYLTRANSFERASE__ABO	28	214504_at,216929_x_at
ABP1	AMPL2573026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	.	.	.
ABR	AMPL36685851	83	76	41	51	122	65	78	58	70	49	43	110	66	65	0	active_BCR-related	81	.	29	212895_s_at,214671_s_at,231400_s_at
ABRA	AMPL34219580	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	actin-binding_Rho_activating_protein	30655	.	137735	1552731_at,1552732_at
ABT1	AMPL13223807	449	451	459	482	421	490	604	454	425	281	248	455	452	587	0	activator_of_basal_transcription_1	17369	.	29777	218405_at
ABTB1	AMPL16445718	19	16	23	17	15	18	16	26	15	0	6	17	15	16	0	ankyrin_repeat_and_BTB__POZ__domain_containing_1	18275	.	80325	226442_at,228848_at,229164_s_at,242567_at
ABTB2	AMPL34779187	75	81	74	92	28	61	191	77	55	48	66	18	58	169	0	ankyrin_repeat_and_BTB__POZ__domain_containing_2	23842	.	25841	213497_at,232624_at
ACAA1	AMPL9520710	127	148	116	140	162	113	164	139	129	93	77	139	127	154	0	acetyl-CoA_acyltransferase_1	82	.	30	202025_x_at,214274_s_at
ACAA2	AMPL27900686	677	640	698	836	702	807	742	778	636	436	530	683	745	920	0	acetyl-CoA_acyltransferase_2	83	.	10449	202002_at,202003_s_at
ACACA	AMPL22279197	603	694	608	753	727	758	1103	671	697	387	446	653	724	1198	0	acetyl-CoA_carboxylase_alpha	84	ACETYL-CoA_CARBOXYLASE_DEFICIENCY__ACACAD	31	212186_at,214358_at
ACACB	AMPL4793463	21	20	17	21	31	21	27	20	18	11	14	25	19	38	0	acetyl-CoA_carboxylase_beta	85	.	32	1552615_at,1552616_a_at,214584_x_at,221928_at,43427_at,49452_at
ACAD10	AMPL1491619	70	87	79	64	83	91	100	67	65	35	52	73	90	106	0	acyl-CoA_dehydrogenase_family__member_10	21597	.	80724	219986_s_at,237482_s_at,238655_at
ACAD8	AMPL25426669	161	165	141	171	185	177	241	189	166	82	96	139	175	228	0	acyl-CoA_dehydrogenase_family__member_8	87	ISOBUTYRYL-CoA_DEHYDROGENASE_DEFICIENCY	27034	221669_s_at
ACAD9	AMPL24496230	181	173	146	174	202	210	255	181	138	118	113	181	195	255	0	acyl-CoA_dehydrogenase_family__member_9	21497	ACYL-CoA_DEHYDROGENASE_FAMILY__MEMBER_9__DEFICIENCY_OF	28976	224160_s_at
ACADL	AMPL7739345	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	acyl-CoA_dehydrogenase__long_chain	88	ACYL-CoA_DEHYDROGENASE__VERY_LONG-CHAIN__DEFICIENCY_OF__ACADVLD	33	206068_s_at,206069_s_at
ACADM	AMPL1584268	152	188	163	170	202	191	225	174	156	93	102	208	199	234	0	acyl-CoA_dehydrogenase__C-4_to_C-12_straight_chain	89	ACYL-CoA_DEHYDROGENASE__MEDIUM-CHAIN__DEFICIENCY_OF__ACADMD	34	202502_at
ACADS	AMPL7825	7	8	2	12	9	6	4	8	5	5	1	3	7	9	0	acyl-CoA_dehydrogenase__C-2_to_C-3_short_chain	90	ACYL-CoA_DEHYDROGENASE__SHORT-CHAIN__DEFICIENCY_OF__ACADSD	35	202366_at
ACADSB	AMPL7222152	49	49	44	34	43	47	46	61	42	35	18	43	48	58	0	acyl-CoA_dehydrogenase__short_branched_chain	91	2-METHYLBUTYRYL-CoA_DEHYDROGENASE_DEFICIENCY	36	205355_at,226030_at
ACADVL	AMPL10181	121	101	106	115	112	167	136	101	106	62	64	114	130	124	0	acyl-CoA_dehydrogenase__very_long_chain	92	ACYL-CoA_DEHYDROGENASE__VERY_LONG-CHAIN__DEFICIENCY_OF__ACADVLD	37	200710_at
ACAN	AMPL12103662	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	aggrecan	319	.	176	1554950_at,205679_x_at,207692_s_at,217161_x_at
ACAP1	AMPL24152985	7	7	16	13	10	11	8	12	3	5	8	20	8	21	0	ArfGAP_with_coiled-coil__ankyrin_repeat_and_PH_domains_1	16467	.	9744	205212_s_at,205213_at
ACAP2	AMPL13640857	185	197	192	236	167	214	225	161	159	127	127	162	186	206	0	ArfGAP_with_coiled-coil__ankyrin_repeat_and_PH_domains_2	16469	.	23527	1552472_a_at,212476_at
ACAP3	AMPL13987354	146	116	142	125	104	112	105	105	80	84	53	114	94	93	0	ArfGAP_with_coiled-coil__ankyrin_repeat_and_PH_domains_3	16754	.	116983	225529_at,225542_at
ACAT1	AMPL12118	156	158	157	158	163	185	203	180	150	70	105	139	146	192	0	acetyl-CoA_acetyltransferase_1	93	ALPHA-METHYLACETOACETIC_ACIDURIA	38	1554947_at,1559239_s_at,205412_at
ACAT2	AMPL26878106	3340	3869	3228	3372	3064	3537	3969	3473	3276	2284	2049	2482	3525	5388	0	acetyl-CoA_acetyltransferase_2	94	.	39	209608_s_at
ACBD3	AMPL37003194	320	253	295	349	220	341	369	274	231	177	182	266	262	258	0	acyl-CoA_binding_domain_containing_3	15453	.	64746	202323_s_at,202324_s_at
ACBD4	AMPL4357019	8	10	15	5	17	13	10	14	10	4	7	11	11	8	0	acyl-CoA_binding_domain_containing_4	23337	.	79777	219413_at
ACBD5	AMPL36270060	123	111	109	119	98	142	151	107	79	64	57	97	111	160	0	acyl-CoA_binding_domain_containing_5	23338	.	91452	1568877_a_at,225663_at
ACBD6	AMPL15181913	146	172	181	155	168	157	150	153	167	74	85	109	156	276	0	acyl-CoA_binding_domain_containing_6	23339	.	84320	225317_at
ACBD7	AMPL5908011	74	91	81	98	231	98	123	92	77	35	38	204	99	123	0	acyl-CoA_binding_domain_containing_7	17715	.	414149	.
ASIC2	AMPL2568680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	acid-sensing__proton-gated__ion_channel_2	99	.	40	206690_at
ASIC1	AMPL31611909	86	80	85	113	121	118	90	107	68	78	56	120	88	105	0	acid-sensing__proton-gated__ion_channel_1	100	.	41	205156_s_at,37953_s_at
ASIC3	AMPL30664287	14	13	5	10	9	9	10	9	7	3	4	9	8	9	0	acid-sensing__proton-gated__ion_channel_3	101	.	9311	207561_s_at
ASIC5	AMPL31114683	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	,acid-sensing__proton-gated__ion_channel_family_member_5	17537	.	51802	1564504_at
ACCS	AMPL2394683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1-aminocyclopropane-1-carboxylate_synthase_homolog__Arabidopsis__non-functional	23989	.	84680	228264_at
